epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.1953,0.12061,0.26322,2.29496,1.06879,0.71903,0.83108,0.86395,0.7944,0.71935,0.82901,0.86245,0.77681,0.07209,0.1336,0.94502,0.88375,0.0675323,0.000327957,0.000327957
2,48.0431,0.06671,0.1194,0.58115,0.86249,0.94712,0.95103,0.9857,0.93709,0.94644,0.95039,0.98505,0.90822,0.05387,0.0923,0.28442,0.83464,0.0345306,0.00065959,0.00065959
3,71.8409,0.05743,0.09125,0.34153,0.83452,0.9607,0.96832,0.98963,0.94874,0.9607,0.96832,0.98923,0.92249,0.05166,0.08057,0.22669,0.82977,0.00152714,0.000989508,0.000989508
4,95.5773,0.05598,0.08108,0.28239,0.82805,0.96794,0.98527,0.99079,0.95448,0.96825,0.98458,0.99083,0.93462,0.05332,0.07659,0.21353,0.80652,0.000992286,0.000992286,0.000992286
5,119.267,0.05528,0.0791,0.25714,0.82231,0.9698,0.98439,0.99054,0.95202,0.9698,0.98439,0.99054,0.93434,0.05418,0.0766,0.20629,0.81215,0.000989714,0.000989714,0.000989714
6,142.605,0.05444,0.07551,0.2348,0.82123,0.97259,0.99228,0.9921,0.95523,0.97259,0.99228,0.9921,0.93651,0.05247,0.07308,0.20022,0.80869,0.000987143,0.000987143,0.000987143
7,166.29,0.05474,0.07613,0.2312,0.82027,0.97422,0.98697,0.99023,0.95596,0.97422,0.98697,0.99023,0.93996,0.05304,0.07291,0.2016,0.80182,0.000984571,0.000984571,0.000984571
8,189.831,0.05526,0.07547,0.22721,0.82111,0.97676,0.98941,0.99178,0.95984,0.97676,0.98941,0.99178,0.94034,0.05522,0.07386,0.19983,0.81357,0.000982,0.000982,0.000982
9,213.464,0.05401,0.07199,0.21776,0.81639,0.97843,0.98687,0.99265,0.96206,0.97843,0.98687,0.99265,0.94149,0.05276,0.07299,0.19947,0.81164,0.000979429,0.000979429,0.000979429
10,237.023,0.05337,0.06974,0.21728,0.81808,0.98001,0.98258,0.99244,0.95661,0.98001,0.98258,0.99244,0.93997,0.0539,0.07234,0.20434,0.80835,0.000976857,0.000976857,0.000976857
11,260.526,0.05238,0.06988,0.20597,0.81413,0.98617,0.98432,0.99329,0.96571,0.98617,0.98432,0.99329,0.94659,0.05159,0.07114,0.18028,0.81113,0.000974286,0.000974286,0.000974286
12,284.094,0.05234,0.07082,0.19941,0.8137,0.97903,0.99199,0.9924,0.96011,0.97903,0.99199,0.9924,0.94981,0.05503,0.07033,0.19029,0.82074,0.000971714,0.000971714,0.000971714
13,307.528,0.05181,0.06862,0.19621,0.81359,0.98023,0.98777,0.99187,0.9624,0.98023,0.98777,0.99187,0.94185,0.05311,0.0704,0.19345,0.81635,0.000969143,0.000969143,0.000969143
