epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.03457,0.24731,0.50065,3.61433,1.34732,0.63333,0.16688,0.24959,0.19682,0.63333,0.16688,0.24793,0.18979,0.14397,0.26178,2.4856,0.98509,0.08515,0.00015,0.00015
2,16.4779,0.15774,0.30736,1.99104,1.0791,0.51358,0.78534,0.72584,0.63536,0.50679,0.79859,0.72416,0.58358,0.08937,0.16437,2.73429,0.88779,0.0693092,0.000309203,0.000309203
3,24.9292,0.09925,0.18327,0.73568,0.93312,0.85978,0.85688,0.95509,0.87841,0.85978,0.85688,0.95431,0.788,0.06875,0.11469,0.56969,0.845,0.0534676,0.000467583,0.000467583
4,33.3032,0.07928,0.1255,0.41647,0.87,0.94221,0.9634,0.98516,0.92335,0.94216,0.96488,0.98523,0.83528,0.06164,0.08815,0.31547,0.82704,0.0376251,0.00062514,0.00062514
5,41.7183,0.07175,0.10459,0.32944,0.84969,0.95574,0.98829,0.9908,0.93639,0.956,0.98731,0.99068,0.86662,0.06052,0.08128,0.26678,0.82044,0.0217819,0.000781874,0.000781874
6,50.2047,0.06761,0.08999,0.28379,0.83821,0.96399,0.98987,0.99205,0.94197,0.96399,0.98987,0.99205,0.87596,0.06106,0.07524,0.26414,0.81767,0.00593779,0.000937786,0.000937786
7,58.5998,0.06656,0.08786,0.26523,0.83326,0.97016,0.98301,0.99237,0.94206,0.97016,0.98301,0.99237,0.87447,0.06157,0.07201,0.23917,0.81655,0.000984571,0.000984571,0.000984571
8,66.7679,0.06561,0.0822,0.24984,0.82731,0.97418,0.98412,0.99193,0.94381,0.97418,0.98412,0.99193,0.87901,0.05957,0.07144,0.22101,0.8138,0.000982,0.000982,0.000982
9,75.1315,0.06456,0.08075,0.24154,0.82689,0.9774,0.9851,0.9927,0.9463,0.9774,0.9851,0.9927,0.87703,0.06046,0.06989,0.22538,0.81897,0.000979429,0.000979429,0.000979429
10,83.5251,0.06421,0.08033,0.24118,0.82247,0.97758,0.99248,0.99273,0.94764,0.97758,0.99248,0.99273,0.87182,0.06,0.07007,0.21593,0.8138,0.000976857,0.000976857,0.000976857
