epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.6082,0.48867,0.70271,0.78768,0.89267,0.86726,0.90236,0.93985,0.82578,0.86671,0.90172,0.93898,0.84055,0.49385,0.66085,0.56913,0.81109,0.000367929,0.000367929,0.000367929
2,24.4755,0.48636,0.54993,0.49395,0.85842,0.89253,0.94302,0.97109,0.86874,0.89145,0.94196,0.96955,0.86872,0.48693,0.53727,0.51801,0.82022,0.000730953,0.000730953,0.000730953
3,36.1994,0.50511,0.51028,0.45025,0.85854,0.94297,0.95891,0.97132,0.85212,0.94279,0.9587,0.9713,0.89063,0.51563,0.52678,0.46675,0.83059,0.00108665,0.00108665,0.00108665
4,47.968,0.49417,0.54027,0.41173,0.85893,0.95673,0.96777,0.98681,0.85318,0.95652,0.96755,0.98682,0.90762,0.59906,0.46806,0.42682,0.83542,0.001078,0.001078,0.001078
5,60.094,0.47018,0.49872,0.37685,0.85057,0.96681,0.97299,0.98631,0.90184,0.9667,0.97329,0.98649,0.89224,0.42328,0.48214,0.34011,0.80247,0.001067,0.001067,0.001067
6,72.2039,0.43051,0.44947,0.34703,0.84006,0.97057,0.98243,0.98961,0.9129,0.97004,0.98202,0.98905,0.91587,0.41988,0.40385,0.32355,0.80441,0.00105601,0.00105601,0.00105601
7,84.2814,0.40718,0.43977,0.3214,0.83644,0.96444,0.98551,0.98696,0.90815,0.96444,0.98551,0.98699,0.9144,0.41225,0.44005,0.30907,0.80201,0.00104501,0.00104501,0.00104501
8,96.2506,0.4086,0.44457,0.31974,0.83735,0.975,0.97418,0.98989,0.91896,0.975,0.97418,0.98989,0.90571,0.38163,0.40851,0.29095,0.79494,0.00103401,0.00103401,0.00103401
9,108.345,0.38512,0.40498,0.29164,0.82969,0.97905,0.98059,0.99179,0.92617,0.9784,0.97993,0.99166,0.91941,0.37775,0.40403,0.27373,0.79203,0.00102301,0.00102301,0.00102301
10,120.624,0.3663,0.38969,0.28951,0.82642,0.96898,0.97433,0.99142,0.9333,0.96898,0.97433,0.99149,0.91692,0.36269,0.37751,0.28406,0.7903,0.00101201,0.00101201,0.00101201
11,132.69,0.35865,0.37941,0.27912,0.82407,0.9819,0.97844,0.99251,0.93209,0.98147,0.97801,0.99229,0.91642,0.35344,0.39755,0.27183,0.78673,0.00100101,0.00100101,0.00100101
12,144.684,0.34697,0.37478,0.27055,0.82034,0.9761,0.98544,0.99231,0.93909,0.9761,0.98544,0.99228,0.92294,0.34147,0.37391,0.25689,0.78375,0.000990012,0.000990012,0.000990012
13,156.719,0.34116,0.36748,0.26905,0.81834,0.97996,0.97472,0.9921,0.93696,0.97996,0.97472,0.9921,0.92618,0.34651,0.37145,0.25872,0.78639,0.000979013,0.000979013,0.000979013
14,168.893,0.33987,0.36076,0.26406,0.8202,0.97722,0.9836,0.99255,0.9394,0.97678,0.98316,0.99221,0.92679,0.346,0.35501,0.25245,0.78496,0.000968014,0.000968014,0.000968014
15,180.984,0.3263,0.35428,0.25824,0.8138,0.97622,0.98756,0.9925,0.94157,0.97622,0.98756,0.9925,0.92629,0.33095,0.358,0.25053,0.78316,0.000957015,0.000957015,0.000957015
16,192.984,0.32155,0.33689,0.25461,0.81414,0.97606,0.9839,0.99248,0.94359,0.97608,0.98392,0.9923,0.92636,0.32788,0.36309,0.24939,0.78262,0.000946016,0.000946016,0.000946016
17,205.062,0.32238,0.34297,0.25293,0.81639,0.9711,0.98442,0.9918,0.93416,0.97089,0.98421,0.99159,0.91619,0.34793,0.36197,0.25405,0.78601,0.000935018,0.000935018,0.000935018
18,217.112,0.31987,0.34516,0.25077,0.81443,0.97679,0.97916,0.99208,0.94336,0.97679,0.97916,0.99214,0.92445,0.32829,0.35926,0.23962,0.7823,0.000924019,0.000924019,0.000924019
19,229.183,0.3114,0.33682,0.2446,0.80959,0.97975,0.98399,0.99301,0.9468,0.97952,0.98462,0.99289,0.93181,0.34152,0.3602,0.24639,0.78559,0.00091302,0.00091302,0.00091302
20,241.283,0.29942,0.32703,0.23448,0.80709,0.98037,0.98522,0.9923,0.94748,0.98037,0.98522,0.99212,0.92204,0.31,0.36497,0.2259,0.7805,0.000902021,0.000902021,0.000902021
21,253.236,0.29899,0.32896,0.23453,0.81086,0.97566,0.98669,0.9923,0.94582,0.97503,0.98605,0.99194,0.92684,0.31259,0.3551,0.22862,0.78129,0.000891022,0.000891022,0.000891022
22,265.187,0.29201,0.3129,0.22762,0.80754,0.97528,0.97854,0.99085,0.94389,0.97507,0.97833,0.99051,0.92914,0.31924,0.35295,0.24326,0.78283,0.000880023,0.000880023,0.000880023
23,277.278,0.29352,0.31724,0.22992,0.80604,0.9764,0.98301,0.99181,0.94619,0.97645,0.98305,0.99177,0.92361,0.31599,0.36145,0.23705,0.781,0.000869024,0.000869024,0.000869024
24,289.279,0.29041,0.31897,0.2248,0.80621,0.98395,0.9816,0.99281,0.94454,0.98378,0.98143,0.99247,0.92152,0.31448,0.36002,0.22494,0.78292,0.000858025,0.000858025,0.000858025
25,301.218,0.29046,0.32051,0.22323,0.80709,0.97643,0.98263,0.99211,0.9462,0.97624,0.98243,0.99183,0.92402,0.31478,0.36538,0.22411,0.78321,0.000847026,0.000847026,0.000847026
26,313.056,0.28578,0.31635,0.2194,0.8043,0.97823,0.98419,0.99278,0.94781,0.97737,0.98332,0.99242,0.92481,0.30794,0.35821,0.22122,0.78181,0.000836027,0.000836027,0.000836027
