epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.54067,0.84782,1.64907,2.57964,1.14639,0.58147,0.53755,0.56463,0.44139,0.57977,0.53525,0.56083,0.428,0.71959,1.18279,1.98758,0.98325,0.00016665,0.00016665,0.00016665
2,13.0161,0.6009,0.89388,0.81337,0.91827,0.79029,0.80394,0.89128,0.74626,0.79029,0.80394,0.88491,0.71503,0.68087,1.56846,1.19297,0.94928,0.000341,0.000341,0.000341
3,19.4625,0.61404,0.9516,0.71743,0.92424,0.90133,0.89965,0.94119,0.76906,0.88544,0.88581,0.92329,0.71066,0.73729,2.02084,0.80745,0.95671,0.000511831,0.000511831,0.000511831
4,25.9215,0.62038,0.9603,0.63887,0.91107,0.82808,0.79423,0.86725,0.65289,0.74053,0.83875,0.80719,0.60148,0.84755,2.87396,0.97907,1.2232,0.000679142,0.000679142,0.000679142
5,32.4317,0.61556,0.94978,0.6537,0.93398,0.93152,0.89478,0.96691,0.79077,0.92884,0.89248,0.96221,0.75415,0.74825,1.89161,0.74353,1.12232,0.000842933,0.000842933,0.000842933
6,39.0028,0.59864,0.92222,0.5847,0.93462,0.80557,0.85699,0.89869,0.74889,0.79094,0.83891,0.86907,0.62051,0.70313,2.9882,0.96529,1.02068,0.00100321,0.00100321,0.00100321
7,45.647,0.64427,0.94728,0.6164,0.94156,0.7718,0.77492,0.80834,0.62276,0.76609,0.76553,0.79315,0.56663,0.81175,2.29581,0.90659,1.02718,0.00104501,0.00104501,0.00104501
8,52.6621,0.6561,0.93861,0.59763,0.937,0.81696,0.94947,0.8838,0.70095,0.81497,0.94717,0.88164,0.67305,0.76877,1.65467,0.68354,1.0515,0.00103401,0.00103401,0.00103401
9,61.2055,0.65285,0.931,0.58432,0.94028,0.9206,0.94323,0.96078,0.78614,0.91838,0.94093,0.95994,0.76157,0.71789,1.30538,0.58334,0.99986,0.00102301,0.00102301,0.00102301
10,70.3761,0.61021,0.82504,0.51198,0.92105,0.90436,0.93581,0.96357,0.81697,0.90436,0.93581,0.96357,0.73548,0.63806,1.75306,0.58355,0.94866,0.00101201,0.00101201,0.00101201
11,80.0818,0.60204,0.8002,0.50546,0.93049,0.8827,0.9132,0.97232,0.82192,0.8827,0.9132,0.97232,0.73089,0.63937,1.6593,0.65222,0.95426,0.00100101,0.00100101,0.00100101
12,88.9874,0.59134,0.84314,0.49496,0.91713,0.93805,0.93152,0.97678,0.82775,0.93805,0.93152,0.97672,0.78937,0.63458,1.23207,0.50054,0.9549,0.000990012,0.000990012,0.000990012
13,97.8048,0.57066,0.79634,0.47675,0.9006,0.88707,0.90568,0.94934,0.80617,0.88532,0.90202,0.93717,0.72711,0.6784,1.98999,0.57578,0.98686,0.000979013,0.000979013,0.000979013
14,106.789,0.56826,0.77732,0.45583,0.90163,0.89161,0.77692,0.87187,0.68949,0.87413,0.76577,0.84905,0.64176,0.92343,1.97897,0.85446,1.15563,0.000968014,0.000968014,0.000968014
15,114.405,0.5569,0.75553,0.45647,0.92183,0.94556,0.92209,0.94565,0.8,0.94532,0.92141,0.94371,0.7498,0.67154,1.45159,0.55199,1.01873,0.000957015,0.000957015,0.000957015
16,120.841,0.54262,0.76737,0.44751,0.9038,0.95781,0.94666,0.98389,0.85233,0.96029,0.94896,0.9854,0.83448,0.5788,1.00103,0.41036,0.93277,0.000946016,0.000946016,0.000946016
17,127.487,0.54059,0.78072,0.42336,0.89547,0.94643,0.97667,0.98482,0.87075,0.94643,0.97667,0.98482,0.85352,0.52628,0.88023,0.39401,0.90723,0.000935018,0.000935018,0.000935018
18,134.154,0.51759,0.744,0.41146,0.88911,0.93448,0.97684,0.9774,0.8605,0.93448,0.97684,0.97728,0.8416,0.51963,0.87961,0.38532,0.90493,0.000924019,0.000924019,0.000924019
